日期,Profit,策略損益(金額)
2000-02-01 00:00:00+08:00,10000.0,0.0
2000-02-02 00:00:00+08:00,10000.0,0.0
2000-02-03 00:00:00+08:00,10000.0,0.0
2000-02-04 00:00:00+08:00,10000.0,0.0
2000-02-07 00:00:00+08:00,10000.0,0.0
2000-02-08 00:00:00+08:00,9562.133571624756,-437.86642837524414
2000-02-09 00:00:00+08:00,9416.178733825684,-145.95483779907227
2000-02-10 00:00:00+08:00,9172.902797698975,-243.27593612670898
2000-02-11 00:00:00+08:00,9416.178733825684,243.27593612670898
2000-02-14 00:00:00+08:00,9367.542121887207,-48.63661193847656
2000-02-15 00:00:00+08:00,9464.814388275146,97.27226638793945
2000-02-16 00:00:00+08:00,9562.133571624756,97.31918334960938
2000-02-17 00:00:00+08:00,9708.090324401855,145.9567527770996
2000-02-18 00:00:00+08:00,10340.594161987305,632.5038375854492
2000-02-21 00:00:00+08:00,10340.594161987305,0.0
2000-02-22 00:00:00+08:00,10340.594161987305,0.0
2000-02-23 00:00:00+08:00,10393.493743896484,52.89958190917969
2000-02-24 00:00:00+08:00,10605.191005706787,211.69726181030273
2000-02-25 00:00:00+08:00,10605.191005706787,0.0
2000-02-28 00:00:00+08:00,10710.987045288086,105.79603958129883
2000-02-29 00:00:00+08:00,10975.585971832275,264.59892654418945
2000-03-01 00:00:00+08:00,10816.839321136475,-158.74665069580078
2000-03-02 00:00:00+08:00,10658.092670440674,-158.74665069580078
2000-03-13 00:00:00+08:00,10882.144180297852,224.05150985717773
2000-03-14 00:00:00+08:00,10714.092594146729,-168.05158615112305
2000-03-15 00:00:00+08:00,10770.144332885742,56.05173873901367
2000-03-16 00:00:00+08:00,11106.249710083008,336.1053771972656
2000-03-17 00:00:00+08:00,10770.144332885742,-336.1053771972656
2000-03-20 00:00:00+08:00,11386.30224609375,616.1579132080078
2000-03-21 00:00:00+08:00,11218.249557495117,-168.0526885986328
2000-03-22 00:00:00+08:00,11050.196868896484,-168.0526885986328
2000-03-28 00:00:00+08:00,11307.959457397461,257.76258850097656
2000-03-29 00:00:00+08:00,11101.738021850586,-206.221435546875
2000-03-30 00:00:00+08:00,11256.417289733887,154.67926788330078
2000-03-31 00:00:00+08:00,11256.417289733887,0.0
2000-04-03 00:00:00+08:00,11256.417289733887,0.0
2000-04-04 00:00:00+08:00,11101.738021850586,-154.67926788330078
2000-04-05 00:00:00+08:00,11411.092498779297,309.35447692871094
2000-04-06 00:00:00+08:00,11514.227569580078,103.13507080078125
2000-04-07 00:00:00+08:00,10998.602951049805,-515.6246185302734
2000-04-10 00:00:00+08:00,11256.417289733887,257.81433868408203
2000-04-11 00:00:00+08:00,11514.227569580078,257.8102798461914
2000-04-12 00:00:00+08:00,11926.719146728516,412.4915771484375
2000-04-13 00:00:00+08:00,12339.210723876953,412.4915771484375
2000-04-14 00:00:00+08:00,11884.696754455566,-454.5139694213867
2000-04-17 00:00:00+08:00,12534.014839172363,649.3180847167969
2000-04-18 00:00:00+08:00,12144.410442352295,-389.60439682006836
2000-04-19 00:00:00+08:00,12339.210723876953,194.8002815246582
2000-04-20 00:00:00+08:00,12339.210723876953,0.0
2000-04-21 00:00:00+08:00,11949.610160827637,-389.6005630493164
2000-04-24 00:00:00+08:00,12404.186748504639,454.57658767700195
2000-04-25 00:00:00+08:00,12274.29987335205,-129.8868751525879
2000-04-26 00:00:00+08:00,12469.100154876709,194.8002815246582
2000-04-27 00:00:00+08:00,13053.50611114502,584.4059562683105
2000-04-28 00:00:00+08:00,13053.50611114502,0.0
2000-05-01 00:00:00+08:00,13053.50611114502,0.0
2000-05-12 00:00:00+08:00,12734.592323303223,-318.9137878417969
2000-05-15 00:00:00+08:00,13502.200706481934,767.6083831787109
2000-05-16 00:00:00+08:00,14360.178688049316,857.9779815673828
2000-05-17 00:00:00+08:00,15218.1566696167,857.9779815673828
2000-05-18 00:00:00+08:00,15311.502616882324,93.345947265625
2000-05-19 00:00:00+08:00,15684.619621276855,373.11700439453125
2000-05-22 00:00:00+08:00,16151.089744567871,466.4701232910156
2000-05-23 00:00:00+08:00,16570.88259124756,419.7928466796875
2000-05-24 00:00:00+08:00,16850.744010925293,279.8614196777344
2000-05-25 00:00:00+08:00,17130.605430603027,279.8614196777344
2000-06-01 00:00:00+08:00,16911.246002197266,-219.35942840576172
2000-06-02 00:00:00+08:00,16582.254913330078,-328.9910888671875
2000-06-05 00:00:00+08:00,16582.254913330078,0.0
2000-06-06 00:00:00+08:00,16253.270568847656,-328.9843444824219
2000-06-07 00:00:00+08:00,16691.98942565918,438.71885681152344
2000-06-08 00:00:00+08:00,16582.254913330078,-109.73451232910156
2000-06-09 00:00:00+08:00,16691.98942565918,109.73451232910156
2000-06-12 00:00:00+08:00,16911.246002197266,219.25657653808594
2000-06-13 00:00:00+08:00,17020.975456237793,109.72945404052734
2000-06-14 00:00:00+08:00,17459.593147277832,438.61769104003906
2000-06-15 00:00:00+08:00,17898.21083831787,438.61769104003906
2000-06-22 00:00:00+08:00,17539.455993652344,-358.75484466552734
2000-06-23 00:00:00+08:00,17001.32096862793,-538.1350250244141
2000-06-26 00:00:00+08:00,17001.32096862793,0.0
2000-06-27 00:00:00+08:00,17300.246871948242,298.9259033203125
2000-06-28 00:00:00+08:00,17120.864852905273,-179.38201904296875
2000-06-29 00:00:00+08:00,17539.455993652344,418.5911407470703
2000-06-30 00:00:00+08:00,17240.41241455078,-299.0435791015625
2000-07-03 00:00:00+08:00,16941.480995178223,-298.9314193725586
